"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Название х-ки товара №1";"Значение х-ки товара №1";"Название х-ки товара №2";"Значение х-ки товара №2";"Название х-ки товара №3";"Значение х-ки товара №3";"Название х-ки товара №4";"Значение х-ки товара №4";"Название х-ки товара №5";"Значение х-ки товара №5";"Название х-ки товара №6";"Значение х-ки товара №6";"Название х-ки товара №7";"Значение х-ки товара №7";"Название х-ки товара №8";"Значение х-ки товара №8";"Название х-ки товара №9";"Значение х-ки товара №9";"Название х-ки товара №10";"Значение х-ки товара №10";"Название х-ки товара №11";"Значение х-ки товара №11";"Название х-ки товара №12";"Значение х-ки товара №12";"Название х-ки товара №13";"Значение х-ки товара №13";"Название х-ки товара №14";"Значение х-ки товара №14";"Название х-ки товара №15";"Значение х-ки товара №15";"Название х-ки товара №16";"Значение х-ки товара №16";"Название х-ки товара №17";"Значение х-ки товара №17";"Название х-ки товара №18";"Значение х-ки товара №18";"Название х-ки товара №19";"Значение х-ки товара №19";"Название х-ки товара №20";"Значение х-ки товара №20";"Название х-ки товара №21";"Значение х-ки товара №21";"Название х-ки товара №22";"Значение х-ки товара №22";"Название х-ки товара №23";"Значение х-ки товара №23";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1";"Название св-ва для модификации товара №2";"Значение св-ва для модификации товара №2"
"Мужское Портмоне Baellerry Business (Байлери Бизнес) коричневое";"Мужские портмоне из кожи Baellerry Business – это изысканные, элитные аксессуары для мужчин. Очень вместительный, с таким портмоне не только деньги, документы, но и кредитки и визитки всегда будут под рукой. В таком аксессуаре поместится достаточно много вещей. Имеется 16 отделений для купюр, кредиток, мелочи, документов и ремешок для удобства при ношении. Автопортмоне изготовлено из натуральной эко кожи, которую нельзя поцарапать. Долговечный, износоустойчивый материал не подвержен деформации даже при  температурных перепадах. Цвет черный и коричневый. Застежки:кнопки, замок, клипсы.";"Мужские портмоне из кожи Baellerry Business – это изысканные, элитные аксессуары для мужчин. С таким портмоне не только деньги, но и кредитки и визитки всегда будут под рукой. В таком аксессуаре поместится достаточно много вещей. Имеются 16 отделений для купюр, кредиток, мелочи, документов. Автопортмоне изготовлено из натуральной эко кожи, которую нельзя поцарапать. Долговечный, износоустойчивый материал не подвержен деформации даже при  температурных перепадах.<br />
<br />
Пользуйтесь с удовольствием, дарите – с радостью!<br />
<br />
<span style=""font-size:20px;"">Характеристики:</span>
<ul>
	<li>Бренд: Baellerry от Bailini</li>
	<li>Тип: портмоне</li>
	<li>Материал: натуральная PU кожа</li>
	<li>Расположение: вертикальное</li>
	<li>Застежка: кнопки, замок, клипсы</li>
	<li>Отделение для крупных купюр: 2 Прозрачное отделение для фото: 1 Карман для документов: 2 Карманы для кредиток: 16 Отделений для SIM карт: 2 Отделение для телефона: 1 Отделение для мелочи: 1</li>
	<li>Ремешок-петля  для удобного ношения портмоне: есть</li>
	<li>Цвет: черный, коричневый</li>
	<li>Размеры: 20 x 10 x 3 см</li>
</ul>
<span style=""font-size:20px;"">Преимущества портмоне Bailerry:</span>

<ul>
	<li>теперь все самые необходимые вещи будут у вас под рукой;</li>
	<li>данный аксессуар имеет хорошую вместительность;</li>
	<li>внутри портмоне байлерри расположено специальное отделение для техпаспорта, прав, а также паспорта и других документов такого формата;</li>
	<li>для визиток есть 16 отделений, а во внешнем отделении вы сможете хранить любые документы.</li>
</ul>
<span style=""font-size:20px;"">Почему стоит купить портмоне?</span><br />
<br />
Такое изделие выполнено из экокожи, а в качестве застёжки здесь используется молния. Цвет портмоне может быть чёрным или коричневым. Несмотря на то, что оно имеет не слишком большой размер, вместительность портмоне покорит вас.<br />
 ";;00100513A;"1 280,00";0,00;455,00;20,00000;шт;"http://i4.happy-sale.ru/1/8152/81512886/6e1ffd/muzhskoe-portmone-baellerry-business-bajleri-biznes-korichnevoe.jpg
http://i4.happy-sale.ru/1/8152/81512195/6e1ffd/muzhskoe-portmone-baellerry-business-bajleri-biznes-korichnevoe.jpg
http://i4.happy-sale.ru/1/8152/81512196/6e1ffd/muzhskoe-portmone-baellerry-business-bajleri-biznes-korichnevoe.jpg
http://i4.happy-sale.ru/1/8152/81512197/6e1ffd/muzhskoe-portmone-baellerry-business-bajleri-biznes-korichnevoe.jpg
http://i4.happy-sale.ru/1/8152/81512213/6e1ffd/muzhskoe-portmone-baellerry-business-bajleri-biznes-korichnevoe.jpg
http://i4.happy-sale.ru/1/8152/81512214/6e1ffd/muzhskoe-portmone-baellerry-business-bajleri-biznes-korichnevoe.jpg
http://i4.happy-sale.ru/1/8152/81512215/6e1ffd/muzhskoe-portmone-baellerry-business-bajleri-biznes-korichnevoe.jpg
http://i4.happy-sale.ru/1/8152/81512216/6e1ffd/muzhskoe-portmone-baellerry-business-bajleri-biznes-korichnevoe.jpg";;;;;;Muzhskoe-Portmone-Baellerry-Business-Bajleri-Biznes-chernoe-2;;66943436;;Застежка;"кнопки, замок, клипсы";"Количество отделений";"2 Прозрачное отделение для фото: 1 Карман для документов: 2 Карманы для кредиток: 16 Отделения для SIM карт: 2 Отделение для телефона: 1 Отделение для мелочи: 1";Материал;"натуральная PU кожа";Модель;"Baellerry Business";Размер;"20 x 10 x 3 см";Расположение;вертикальное;Ремешок;есть;Тип;портмоне;Цвет;"черный, коричневый";;;;;;;;;;;;;;;;;;;;;;;;;;;;;Модификация;Базовая;;
"Мужское Портмоне Baellerry Business (Байлери Бизнес) черное";"Мужские портмоне из кожи Baellerry Business – это изысканные, элитные аксессуары для мужчин. Очень вместительный, с таким портмоне не только деньги, документы, но и кредитки и визитки всегда будут под рукой. В таком аксессуаре поместится достаточно много вещей. Имеется 16 отделений для купюр, кредиток, мелочи, документов и ремешок для удобства при ношении. Автопортмоне изготовлено из натуральной эко кожи, которую нельзя поцарапать. Долговечный, износоустойчивый материал не подвержен деформации даже при  температурных перепадах. Цвет черный и коричневый. Застежки:кнопки, замок, клипсы.";"Мужские портмоне из кожи Baellerry Business – это изысканные, элитные аксессуары для мужчин. С таким портмоне не только деньги, но и кредитки и визитки всегда будут под рукой. В таком аксессуаре поместится достаточно много вещей. Имеются 16 отделений для купюр, кредиток, мелочи, документов. Автопортмоне изготовлено из натуральной эко кожи, которую нельзя поцарапать. Долговечный, износоустойчивый материал не подвержен деформации даже при  температурных перепадах.<br />
<br />
Пользуйтесь с удовольствием, дарите – с радостью!<br />
<br />
<span style=""font-size:20px;"">Характеристики:</span>
<ul>
	<li>Бренд: Baellerry от Bailini</li>
	<li>Тип: портмоне</li>
	<li>Материал: натуральная PU кожа</li>
	<li>Расположение: вертикальное</li>
	<li>Застежка: кнопки, замок, клипсы</li>
	<li>Отделение для крупных купюр: 2 Прозрачное отделение для фото: 1 Карман для документов: 2 Карманы для кредиток: 16 Отделений для SIM карт: 2 Отделение для телефона: 1 Отделение для мелочи: 1</li>
	<li>Ремешок-петля  для удобного ношения портмоне: есть</li>
	<li>Цвет: черный, коричневый</li>
	<li>Размеры: 20 x 10 x 3 см</li>
</ul>
<span style=""font-size:20px;"">Преимущества портмоне Bailerry:</span>

<ul>
	<li>теперь все самые необходимые вещи будут у вас под рукой;</li>
	<li>данный аксессуар имеет хорошую вместительность;</li>
	<li>внутри портмоне байлерри расположено специальное отделение для техпаспорта, прав, а также паспорта и других документов такого формата;</li>
	<li>для визиток есть 16 отделений, а во внешнем отделении вы сможете хранить любые документы.</li>
</ul>
<span style=""font-size:20px;"">Почему стоит купить портмоне?</span><br />
<br />
Такое изделие выполнено из экокожи, а в качестве застёжки здесь используется молния. Цвет портмоне может быть чёрным или коричневым. Несмотря на то, что оно имеет не слишком большой размер, вместительность портмоне покорит вас.<br />
 ";;00100513C;"1 280,00";0,00;455,00;20,00000;шт;"http://i4.happy-sale.ru/1/8152/81512691/6e1ffd/muzhskoe-portmone-baellerry-business-bajleri-biznes-chernoe.jpg
http://i4.happy-sale.ru/1/8152/81511269/6e1ffd/muzhskoe-portmone-baellerry-business-bajleri-biznes-chernoe.jpg
http://i4.happy-sale.ru/1/8152/81511270/6e1ffd/muzhskoe-portmone-baellerry-business-bajleri-biznes-chernoe.jpg
http://i4.happy-sale.ru/1/8152/81511271/6e1ffd/muzhskoe-portmone-baellerry-business-bajleri-biznes-chernoe.jpg
http://i4.happy-sale.ru/1/8152/81511272/6e1ffd/muzhskoe-portmone-baellerry-business-bajleri-biznes-chernoe.jpg
http://i4.happy-sale.ru/1/8152/81511273/6e1ffd/muzhskoe-portmone-baellerry-business-bajleri-biznes-chernoe.jpg
http://i4.happy-sale.ru/1/8152/81511274/6e1ffd/muzhskoe-portmone-baellerry-business-bajleri-biznes-chernoe.jpg";;;;;;Muzhskoe-Portmone-Baellerry-Business-Bajleri-Biznes-chernoe;;66939669;;Застежка;"кнопки, замок, клипсы";"Количество отделений";"2 Прозрачное отделение для фото: 1 Карман для документов: 2 Карманы для кредиток: 16 Отделения для SIM карт: 2 Отделение для телефона: 1 Отделение для мелочи: 1";Материал;"натуральная PU кожа";Модель;"Baellerry Business";Размер;"20 x 10 x 3 см";Расположение;вертикальное;Ремешок;есть;Тип;портмоне;Цвет;"черный, коричневый";;;;;;;;;;;;;;;;;;;;;;;;;;;;;Модификация;Базовая;;
"Лазерная система освещения StarShower";"Лазерная система освещения StarShower - это тысячи красных и зеленых сияющих огней чтобы осветить и украсить ваш дом к празднику, создать настроение. Площадь покрытия 55 м?. Цвет иллюминации зеленый, возможно сочетание зеленого с красным. Лазерный проектор имеет длинную подпорку для установки как на почве, так и на снегу. Влагоустойчивый корпус позволят использовать лазерную систему освещения в любую погоду. При желании возможно использовать и в помещении.";"Усыпьте ваш дом тысячами сияющих огней при помощи лазерной системы освещения StarShower. В Рождественскую ночь ваш дом и двор будут сиять волшебными зелеными или красными огоньками! Теперь вам не придется украшать гирляндами стены дома, тратя на это уйму времени и сил.<br />
<br />
Иллюминация покрывает площадь в 55 м?2;, огни светятся зеленым светом, возможна комбинация зеленого и красного цветов. Лазерный прожектор StarShower имеет длинную подпорку, что позволяет использовать его как на почве, так и на снегу. Система также обладает влагоустойчивыми свойствами, ее можно использовать в любую погоду.<br />
<br />
<span style=""font-size:20px;"">Характеристики:</span><br />
<br />
Площадь покрытия: 55 м?2;;<br />
Размеры: высота 26,6 см х ширина 19 см х глубина 12 см.";;00101731A;"1 890,00";"2 150,00";790,00;4,00000;шт;"http://i4.happy-sale.ru/1/8151/81501747/6e1ffd/lazernaya-sistema-osveshheniya-starshower.jpg
http://i4.happy-sale.ru/1/8151/81501745/6e1ffd/lazernaya-sistema-osveshheniya-starshower.jpg
http://i4.happy-sale.ru/1/8151/81501715/6e1ffd/lazernaya-sistema-osveshheniya-starshower.jpg
http://i4.happy-sale.ru/1/8151/81501746/6e1ffd/lazernaya-sistema-osveshheniya-starshower.jpg
http://i4.happy-sale.ru/1/8151/81501744/6e1ffd/lazernaya-sistema-osveshheniya-starshower.jpg
http://i4.happy-sale.ru/1/8151/81501748/6e1ffd/lazernaya-sistema-osveshheniya-starshower.jpg";;;;;;Lazernaya-sistema-osveshheniya-StarShower;;66924250;;Назначение;"проектор лазерный";"Площадь охвата";"55 м?";"Размер упаковки";"26,6 см х19 см х 12 см.";Тип;"Световое оборудование";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Модификация;Базовая;;
"Умные часы Smart Watch SW007 (унисекс) и Умные детские смарт часы Smart Watch V8 и в Подарок мужское Портмоне Baellerry Business (Байлери Бизнес)";"Закажите по Акции Умные часы Smart Watch SW007 (унисекс) и Умные детские смарт часы Smart Watch V8 и получите в Подарок* мужское Портмоне Baellerry Business (Байлери Бизнес). Не за горами Новый Год. Позаботьтесь о подарках  друзьям и близким заранее. Пользуйтесь с удовольствием, дарите – с радостью!";"<div style=""text-align: center;""><span style=""font-size:22px;"">Закажите по Акции Умные часы Smart Watch SW007 (унисекс) и Умные детские смарт часы Smart Watch V8 и получите в Подарок* мужское Портмоне Baellerry Business (Байлери Бизнес). <span style=""color:#00ac86;""><strong>До 5 ноября</strong></span>.</span></div>

<div style=""text-align: center;""><br />
Пользуйтесь с удовольствием, дарите – с радостью!<br />
 </div>

<div>Умные часы Smart Watch SW007 (унисекс). Подробно здесь:<br />
<a href=""http://happy-sale.ru/goods/Umnye-chasy-Smart-Watch-SW007?from=M2Rl&mod_id=138237362"">http://happy-sale.ru/goods/Umnye-chasy-Smart-Watch-SW007?from=M2Rl&mod_id=138237362</a><br />
 <br />
Умные детские смарт часы Smart Watch V8. Подробно здесь:<br />
<a href=""http://happy-sale.ru/goods/Umnye-detskie-smart-chasy-Smart-watch-V8?from=M2Rl&mod_id=138238062"">http://happy-sale.ru/goods/Umnye-detskie-smart-chasy-Smart-watch-V8?from=M2Rl&mod_id=138238062</a><br />
<br />
Подарок мужское Портмоне Baellerry Business (Байлери Бизнес). Подробно здесь:<br />
 </div>

<div><span style=""font-size:11px;"">* Срок действия Акции и количество Подарков ограничено.</span><br />
Артикулы для заказа:<br />
 </div>";;;"3 880,00";"5 880,00";"2 835,00";5,00000;шт;http://i4.happy-sale.ru/1/8150/81491806/6e1ffd/umnye-chasy-smart-watch-sw007-uniseks-i-umnye-detskie-smart-chasy-smart-watch-v8-i-v-podarok-muzhskoe-portmone-baellerry-business-bajleri-biznes.jpg;;;;;;Umnye-chasy-Smart-Watch-SW007-uniseks-i-Umnye-detskie-smart-chasy-Smart-Watch-V8-i-v-Podarok-muzhskoe-Portmone-Baellerry-Business-Bajleri-Biznes;;66921134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Модификация;Базовая;;
"Конструктор Цифровые Трансформеры";"Цифровые трансформеры – это набор 10 в 1. 10 цифр - 10 роботов. Все разноцветные цифры легко трансформируются в маленьких роботов и обратно. Изготовлен из безопасной, гиопаллергенной пластмассы. Возраст: дети от 3-х лет. Это не только интересно,  но и познавательно. В игре Ваш ребенок будет запоминать цифры и учиться счету. Все знают, что обучение ребенка проще, когда играешь с ним. А информация легче усваивается, потому что малышу интересно играть. Обучение – играючи!";"Цифровые трансформеры – это набор 10 в 1. Все разноцветные цифры легко трансформируются в маленьких роботов и обратно. Изготовлен из безопасной, гиопаллергенной пластмассы. Возраст: дети от 3-х лет. Это не только интересно,  но и познавательно. В игре Ваш ребенок будет запоминать цифры и учиться счету. Все знают, что обучение ребенка проще, когда играешь с ним. А информация легче усваивается, потому что малышу интересно играть. Обучение – играючи!<br />
<br />
<span style=""font-size:20px;"">Характеристики:</span>
<ul>
	<li>Материал: пластик.</li>
	<li>В комплекте: 10 роботов разных цветов.</li>
	<li>Упаковка: картонная коробка</li>
	<li>Габариты упаковки: 32 х 27 х 6 см</li>
</ul>";;00100473;"1 690,00";0,00;870,00;33,00000;шт;"http://i4.happy-sale.ru/1/8145/81442762/6e1ffd/konstruktor-cifrovye-transformery.jpg
http://i4.happy-sale.ru/1/8145/81442707/6e1ffd/konstruktor-cifrovye-transformery-2-jpg.jpg";;;;;;Konstruktor-Cifrovye-Transformery;;66870046;;Безопасность;гипоаллергенный;Комплектация;"10 цифр-роботов";Материал;"высококачественный пластик";Модель;"Цифровые Трансформеры";"Размер упаковки";"32 х 27 х 6 см";Упаковка;"картонная коробка";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Модификация;Базовая;;
"Умные детские смарт часы Smart watch V8";"Часы Smart Watch V8 изготавливаются в круглом корпусе. Дизайн Smart Watch V8 - ярко выраженный спортивный. Цвет: черный. Корпус изготовлен из металла, ремешок – из гибкого полимера. С левой стороны Smartwatch V8 расположен разъем для зарядки микро-USB, закрытый резиновой заглушкой, с правой – 2 кнопки. Под задней крышкой находятся съемный литиевый аккумулятор, слот для сим-карты микро-SIM, а также слот для карты памяти микро-SD. Включает в себя огромное количество функций: телефон, камера, шагомер и будильник, аудиоплеер и анти-потеряшка, функции фитнес-браслета. Особенность: сменный вариационный экранный  циферблат. Одним касанием экран стрелочный сменится на электронный.";"Часы Smart Watch V8 изготавливаются в круглом корпусе. Надо отметить, что последнее время все больше появляется новых моделей часов с круглыми циферблатами. И это хорошо – всегда хорошо, когда есть выбор. Дизайн Smart Watch V8 - ярко выраженный спортивный. Доступны различные цветовые решения. От классического черного до агрессивного темно-красного. Корпус – металлический, ремешок – из гибкого полимера.<br />
<br />
С левой стороны Smartwatch V8 расположен разъем для зарядки микро-USB, закрытый резиновой заглушкой, с правой – 2 кнопки. Под задней крышкой находятся съемный литиевый аккумулятор, слот для сим карты микро-SIM, а также слот для карты памяти микро-SD.<br />
<br />
<span style=""font-size:20px;"">Функции часов:</span>
<ul>
	<li>Телефонные звонки (используется карта стандарта MicroSIM)</li>
	<li>Телефонная книга с журналом вызовов</li>
	<li>Прием и передача СМС сообщений (при установленной сим карте)</li>
	<li>Диктофон</li>
	<li>Поддержка SD карт памяти</li>
	<li>Синхронизация со смартфоном по каналу Bluetooth (контакты и журнал вызовов)</li>
	<li>Камера</li>
	<li>Управление камерой смартфона (только для Android, необходимо специальное приложение)</li>
	<li>Аудиоплеер</li>
	<li>Просмотр фото</li>
	<li>""Сидячий"" напоминатель</li>
	<li>Сменные экранные циферблаты</li>
	<li>Шагомер</li>
	<li>Календарь</li>
	<li>Калькулятор</li>
	<li>Часы и будильник</li>
	<li>Функции фитнес-браслета</li>
	<li>Режим экономии энергии</li>
	<li>Анти-потеряшка</li>
</ul>";;00500215;"1 999,00";0,00;"1 090,00";13,00000;шт;"http://i4.happy-sale.ru/1/8145/81442380/6e1ffd/umnye-detskie-smart-chasy-smart-watch-v8-jpg.jpg
http://i4.happy-sale.ru/1/8145/81442383/6e1ffd/umnye-detskie-smart-chasy-smart-watch-v8-2-jpg.jpg";;;;;;Umnye-detskie-smart-chasy-Smart-watch-V8;;66869959;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Модификация;Базовая;;
"Умные часы Smart Watch SW007";"Smart Watch SW007 – универсальный хронометр, изготовленный в стиле унисекс. Корпус выполнен из стали с покрытием Пулар (PU), за счет чего он обладает высокой механической прочностью. Циферблат круглый, так как такая форма является более востребованной и психологически более комфортной.  Ремешок изготовлен из мягкого каучука, поэтому не боится повышенной влажности, легкий, приятный к коже, плавно ложится на руку, гипоаллергенный. Кроме того, он очень прочный и долговечный. Дизайн Смарт Вотч SW007 позволяет носить их как с деловым костюмом, так и с повседневной и спортивной одеждой. Они будут уместны в любой ситуации, так как буквально излучают престиж и комфорт одновременно. Умные часы Smart Watch SW007 совмещаются с операционной системой iPhone и Android. Гаджет синхронизируется со смартфоном через сим-карту и становится его приложением, значительно расширяя возможности связи и делая ее более удобной.";"Smart Watch SW007 – универсальный хронометр, изготовленный в стиле унисекс. Корпус выполнен из стали с покрытием Пулар (PU), за счет чего он обладает высокой механической прочностью. Циферблат круглый, так как такая форма является более востребованной и психологически более комфортной.  Ремешок изготовлен из мягкого каучука, поэтому не боится повышенной влажности, легкий, приятный к коже, плавно ложится на руку, гипоаллергенный. Кроме того, он очень прочный и долговечный.<br />
<br />
Дизайн Смарт Вотч SW007 позволяет носить их как с деловым костюмом, так и с повседневной и спортивной одеждой. Они будут уместны в любой ситуации, так как буквально излучают престиж и комфорт одновременно. Умные часы Smart Watch SW007 совмещаются с операционной системой iPhone и Android. Гаджет синхронизируется со смартфоном через сим-карту и становится его приложением, значительно расширяя возможности связи и делая ее более удобной.<br />
<br />
<span style=""font-size:20px;"">Характеристики:</span>
<ul>
	<li>Вид: Наручные часы с функцией телефона и фотоаппарата</li>
	<li>Тип: универсальные</li>
	<li>Внутренняя память: 32 Мб </li>
	<li>Слот для карты памяти: micro-CD на 32 Гб под задней крышкой </li>
	<li>Камера: 1,3 Мп </li>
	<li>Карта: Micro-SIM с поддержкой 2G </li>
	<li>Цвет корпуса: черный со стальными вставками </li>
	<li>Ремешок: съемный, материал – мягкий каучук, цвет черный </li>
	<li>Корпус: стальной с полимерным покрытием </li>
	<li>Размер: 56х48х15 мм </li>
	<li>Диаметр циферблата: 31 мм </li>
	<li>Дисплей: вариационный циферблат, переключаемый касанием (стрелочный и электронный) </li>
	<li>Меню: русский/английский язык</li>
	<li>Аккумулятор: 200 мА ч </li>
	<li>Продолжительность работы в автономном режиме: 72 часа.</li>
</ul>
<span style=""font-size:20px;"">Особенности <span background-color:="""" style=""color: rgb(51, 51, 51); font-family: sans-serif, Arial, Verdana, "" trebuchet="""">Смарт Вотч SW007:</span></span>

<ul>
	<li>Громкая связь – особенно полезная функция для водителей, велосипедистов и в любой другой ситуации, когда руки заняты, а ответить на звонок необходимо. </li>
	<li>Поступление уведомлений о пропущенных звонках, сообщений, напоминаний. Независимая сим-карта, по которой часы могут работать как телефон со своей картой и номером. </li>
	<li>Работа без сим карты осуществляется посредством Bluetooth. </li>
	<li>Возможность дистанционного управления камерой смартфона на базе Андроид, синхронизированного с часами. </li>
	<li>Мониторинг сна, сидячее напоминание (полезное приложение для людей с сидячей работой напомнит, что нужно размяться). </li>
	<li>Встроенный календарь, калькулятор, шагомер со счетчиком калорий. Музыкальный плеер воспроизводит музыку, хранящуюся на внешней карте памяти или в смартфоне. </li>
	<li>Будильник работает в виде звукового сигнала и как виброзвонок.</li>
	<li>Фото и видеосъемка при вставленной карте памяти. </li>
	<li>Интернет-браузер.</li>
</ul>";;00500216;"2 390,00";0,00;"1 290,00";21,00000;шт;"http://i4.happy-sale.ru/1/8145/81441265/6e1ffd/umnye-chasy-smart-watch-sw007.jpg
http://i4.happy-sale.ru/1/8145/81441268/6e1ffd/umnye-chasy-smart-watch-sw007.jpg";;;;;;Umnye-chasy-Smart-Watch-SW007;;66869369;;Аккумулятор;"200 мА ч";Вид;"Наручные часы с функцией телефона и фотоаппарата";"Диаметр циферблата";"31 мм";Дисплей;"вариационный циферблат, переключаемый касанием (стрелочный и электронный)";Камера;"1,3 Мп";Карта;"Micro-SIM с поддержкой 2G";Корпус;"стальной с полимерным покрытием";Память;"32 Мб";"Продолжительность работы в автономном режиме";"72 часа";Размер;"56х48х15 мм";Ремешок;"съемный, материал – мягкий каучук, цвет черный";"Слот для карты памяти";"micro-CD на 32 Гб под задней крышкой";Тип;универсальные;"Цвет корпуса";"черный со стальными вставками";Язык;"Русский, Английский";;;;;;;;;;;;;;;;;Модификация;Базовая;;
"Электрическая светодиодная гирлянда Роза";"Электрическая светодиодная гирлянда ""Роза"". Длина шнура 76 см. Длина гирлянды 5 метров. 28 ярких светодиодов. Вес изделия: 300 г.";"Электрическая светодиодная гирлянда ""Роза"". Длина шнура 76 см. Длина гирлянды 5 метров. 28 ярких светодиодов. Вес изделия: 300 г.";;00102757;795,00;0,00;195,00;35,00000;шт;http://i4.happy-sale.ru/1/8132/81311618/6e1ffd/jelektricheskaya-svetodiodnaya-girlyanda-roza.jpg;;;;;;Jelektricheskaya-svetodiodnaya-girlyanda-Klubnichka-2;;66773080;;Вес;"300 г";Длина;"5 м";"Количество светодиодов";28;Назначение;"украшение для помещения";Тип;"гирлянда светодиодная";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Модификация;Базовая;;
"Электрическая светодиодная гирлянда Клубничка";"Электрическая светодиодная гирлянда ""Клубничка"". Длина шнура 76 см. Длина гирлянды 5 метров. 28 ярких светодиодов. Вес изделия: 300 г.";"Электрическая светодиодная гирлянда ""Клубничка"". Длина шнура 76 см. Длина гирлянды 5 метров. 28 ярких светодиодов. Вес изделия: 300 г.";;00102753;795,00;0,00;195,00;45,00000;шт;http://i4.happy-sale.ru/1/8132/81310298/6e1ffd/jelektricheskaya-svetodiodnaya-girlyanda-klubnichka-jpg.jpg;;;;;;Jelektricheskaya-svetodiodnaya-girlyanda-Klubnichka;;66772014;;Вес;"300 г";Длина;"5 м";"Количество светодиодов";28;Назначение;"украшение для помещения";Тип;"гирлянда светодиодная";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Модификация;Базовая;;
"Новогодняя светодиодная гирлянда 400 LED лампочек 5м";"Новогодняя гирлянда из 400 LED цветных светодиодных лампочек. ЕЕ длина 5 метров. Имеет восемь режимов работы на выбор. Цвет: разноцветное освещение. Упаковка: пластиковая коробка 10х11 см.";"Новогодняя гирлянда из 400 LED цветных светодиодных лампочек. ЕЕ длина 5 метров. Имеет восемь режимов работы на выбор. Цвет: разноцветное освещение. Упаковка: пластиковая коробка 10х11 см.";;00102843;"1 370,00";"1 590,00";670,00;44,00000;шт;"http://i4.happy-sale.ru/1/8125/81245665/6e1ffd/novogodnyaya-svetodiodnaya-girlyanda-400-led-lampochek-5m.jpg
http://i4.happy-sale.ru/1/8125/81245172/6e1ffd/novogodnyaya-svetodiodnaya-girlyanda-500-led-lampochek-5m.jpg
http://i4.happy-sale.ru/1/8125/81245173/6e1ffd/novogodnyaya-svetodiodnaya-girlyanda-500-led-lampochek-5m.jpg";;;;;;Novogodnyaya-svetodiodnaya-girlyanda-500-LED-lampochek-2;;66711094;;"Количество светодиодов";400;Назначение;"украшение для помещения";Размер;"5 м";"Размер упаковки";"10*11 см";Тип;"гирлянда светодиодная";Цвет;разноцветный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Модификация;Базовая;;
